bhk,area,locality,price,status1,status2
2,850,"Wakad, Pimpri Chinchwad",18500," Ambedkar Nagar-Kondhwa 930 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,1100,Kondhwa,14000," Sus 1176 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,991,Hinjewadi,16000," Dhanori 1020 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,850,Phursungi,15000,Unfurnished,3 floor
1,900,"New Sangvi, Pimpri Chinchwad",7500," Baner road 1650 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,818,Katraj,16000,Unfurnished,4 floor
1,1056,Viman Nagar,25000," Hadapsar 850 sqft"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
1,550,"Kale Padal, Hadapsar",8000,Unfurnished,Ground floor
2,1260,Kothrud,15000," Undri 832 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,1011,Kondhwa,16000,Furnished,4 floor
1,832,Alandi Road,12000,Furnished,4 floor 3 BHK
2,572,Hinjewadi,20000," Pimpri Chinchwad 1100 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
1,1136,Dhankawadi,14000," Hinjewadi"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
2,583,"Kalewadi Phata, Chinchwad",16000,Furnished,5 floor
3,1550,Hinjewadi,45000," Viman Nagar 1550 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,840,Dhanori Lohegaon Road,14000," Pimpri Chinchwad 909 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,868,Pirangut,8592," Kothrud 800 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
3,830,Chakan,22000,Unfurnished,"7 floor Interested People can contact."" itemprop=""description""/>
<meta content=""/propertyDetails/3-BHK-1365-Sq-ft-Multistorey-Apartment-FOR-Rent-Ambegaon-Budruk-in-Pune&amp;id=4d423439363335383832"" itemprop=""url""/>
<div itemprop=""address"" itemscope="""" itemtype=""//schema.org/PostalAddress"">
<meta content=""Ambegaon Budruk"" itemprop=""addressLocality""/>
<input content=""IN"" itemprop=""addressCountry"" type=""hidden"">
</input></div>
<meta content=""3"" itemprop=""numberOfRooms""/>
<meta content=""1365 FTK "" itemprop=""floorSize""/>
</div>"
2,1449,"Pimple Saudagar, Pimpri Chinchwad",22000," Hinjewadi Phase 1 846 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
3,602,Undri,17000,Unfurnished,Ground floor 2 BHK
2,810,,21500,Semi-Furnished,1 floor Here is a comparatively affordable 1 BHK flat available on rent one of the developing suburbs of Pune
3,936,"Sakal Nagar, Aundh",40000, Wakad," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""5 Bath"
2,ft,"Bopodi, Old Mumbai Pune-Highway",26000," Mangaldas Road 1555 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,810,"Pathare Vasti, Lohegaon",18000," Balewadi 2200 sqft"" itemprop=""name""/>
<meta content=""5 Bath",Semi-Furnished
2,1080,Ambegaon Budruk,10000,Unfurnished,1 floor
3,ft,"Vishrantwadi, Airport Road",38000,Unfurnished,3 floor 2 BHK
3,1288,Dhayari,12000,Semi-Furnished,3 floor
2,700,Tilak Road,21000, Ravet," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""1 Bath"
3,1024,"Manjri, Manjri Budruk",30000,Unfurnished,11 floor Pethkar SiyonaUltra spacious
1,1000,Dhamalwadi,7000," Kharadi 1375 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
2,1000,Dighi,14500," Ambedkar Nagar-Kondhwa 930 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,800,Hinjewadi Phase 3,21500," Sus 1176 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,962,Ambegaon Budruk,5300," Dhanori 1020 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,841,Ambe Gaon,9500,Unfurnished,3 floor
2,929,Wagholi,12000," Baner road 1650 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,870,Loni Kalbhor,11500,Unfurnished,4 floor
2,500,Ambe Gaon,12500," Hadapsar 850 sqft"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
1,550,Pashan,18000,Unfurnished,Ground floor
3,949,"Sarita Nagari Phase 2, Dattawadi",32000," Undri 832 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
4,400,Wagholi,24000,Furnished,4 floor
3,608,,26000,Furnished,4 floor 3 BHK
1,1200,,11000," Pimpri Chinchwad 1100 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
1,375,"Chinchwad, Pimpri Chinchwad",8000," Hinjewadi"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
1,750,"Bopodi, Old Mumbai Pune-Highway",13500,Furnished,5 floor
2,425,"Tathawade, Dattwadi",17000," Viman Nagar 1550 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,4100,"Borade Vasti, Pimpri Chinchwad",8500," Pimpri Chinchwad 909 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,1200,"Wadgaon Budruk, Narhe",12000," Kothrud 800 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
1,1306,Dhayari,10000,Unfurnished,"7 floor Interested People can contact."" itemprop=""description""/>
<meta content=""/propertyDetails/3-BHK-1365-Sq-ft-Multistorey-Apartment-FOR-Rent-Ambegaon-Budruk-in-Pune&amp;id=4d423439363335383832"" itemprop=""url""/>
<div itemprop=""address"" itemscope="""" itemtype=""//schema.org/PostalAddress"">
<meta content=""Ambegaon Budruk"" itemprop=""addressLocality""/>
<input content=""IN"" itemprop=""addressCountry"" type=""hidden"">
</input></div>
<meta content=""3"" itemprop=""numberOfRooms""/>
<meta content=""1365 FTK "" itemprop=""floorSize""/>
</div>"
2,1100,"Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi",25000," Hinjewadi Phase 1 846 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,550,Lonavala,10000,Unfurnished,Ground floor 2 BHK
2,500,"Wakad, Pimpri Chinchwad",17000,Semi-Furnished,1 floor Here is a comparatively affordable 1 BHK flat available on rent one of the developing suburbs of Pune
1,1300,Shikrapur,5000, Wakad," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""5 Bath"
2,800,Ambe Gaon,15000," Mangaldas Road 1555 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,1700,Sus,20000," Balewadi 2200 sqft"" itemprop=""name""/>
<meta content=""5 Bath",Semi-Furnished
2,1200,Ambegaon Budruk,10000,Unfurnished,1 floor
3,950,"Vishrantwadi, Airport Road",38000,Unfurnished,3 floor 2 BHK
3,583,Dhayari,12000,Semi-Furnished,3 floor
2,1270,Tilak Road,21000, Ravet," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""1 Bath"
3,660,"Manjri, Manjri Budruk",30000,Unfurnished,11 floor Pethkar SiyonaUltra spacious
1,770,Dhamalwadi,7000," Kharadi 1375 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
2,1100,Dighi,14500," Ambedkar Nagar-Kondhwa 930 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,690,Hinjewadi Phase 3,21500," Sus 1176 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,250,Ambegaon Budruk,5300," Dhanori 1020 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,1370,Ambe Gaon,9500,Unfurnished,3 floor
2,2000,Wagholi,12000," Baner road 1650 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,1150,Loni Kalbhor,11500,Unfurnished,4 floor
2,950,Ambe Gaon,12500," Hadapsar 850 sqft"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
1,400,Pashan,18000,Unfurnished,Ground floor
3,250,"Sarita Nagari Phase 2, Dattawadi",32000," Undri 832 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
4,500,Wagholi,24000,Furnished,4 floor
3,1350,,26000,Furnished,4 floor 3 BHK
1,1300,,11000," Pimpri Chinchwad 1100 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
1,515,"Chinchwad, Pimpri Chinchwad",8000," Hinjewadi"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
1,550,"Bopodi, Old Mumbai Pune-Highway",13500,Furnished,5 floor
2,450,"Tathawade, Dattwadi",17000," Viman Nagar 1550 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,500,"Borade Vasti, Pimpri Chinchwad",8500," Pimpri Chinchwad 909 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,644,"Wadgaon Budruk, Narhe",12000," Kothrud 800 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
1,580,Dhayari,10000,Unfurnished,"7 floor Interested People can contact."" itemprop=""description""/>
<meta content=""/propertyDetails/3-BHK-1365-Sq-ft-Multistorey-Apartment-FOR-Rent-Ambegaon-Budruk-in-Pune&amp;id=4d423439363335383832"" itemprop=""url""/>
<div itemprop=""address"" itemscope="""" itemtype=""//schema.org/PostalAddress"">
<meta content=""Ambegaon Budruk"" itemprop=""addressLocality""/>
<input content=""IN"" itemprop=""addressCountry"" type=""hidden"">
</input></div>
<meta content=""3"" itemprop=""numberOfRooms""/>
<meta content=""1365 FTK "" itemprop=""floorSize""/>
</div>"
2,667,"Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi",25000," Hinjewadi Phase 1 846 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,931,Lonavala,10000,Unfurnished,Ground floor 2 BHK
2,1356,"Wakad, Pimpri Chinchwad",17000,Semi-Furnished,1 floor Here is a comparatively affordable 1 BHK flat available on rent one of the developing suburbs of Pune
1,660,Shikrapur,5000, Wakad," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""5 Bath"
2,630,Ambe Gaon,15000," Mangaldas Road 1555 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,900,Sus,20000," Balewadi 2200 sqft"" itemprop=""name""/>
<meta content=""5 Bath",Semi-Furnished
1,963,"Rahatni, Pimpri Chinchwad",12000,Unfurnished,1 floor
2,1400,Wadgaon Sheri,35000,Unfurnished,3 floor 2 BHK
1,1050,"Mahadeonagar, Hadapsar",6000,Semi-Furnished,3 floor
1,550,Hinjewadi,13000, Ravet," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""1 Bath"
2,818,Undri,15000,Unfurnished,11 floor Pethkar SiyonaUltra spacious
2,615,Pirangut,10000," Kharadi 1375 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
2,667,Handewadi,9500," Ambedkar Nagar-Kondhwa 930 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,350,Phursungi,16500," Sus 1176 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
3,300,"Vishrantwadi, Airport Road",37500," Dhanori 1020 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,540,Undri,12000,Unfurnished,3 floor
2,1520,Hinjewadi Phase 3,18000," Baner road 1650 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
1,620,"Manjri, Manjri Budruk",12000,Unfurnished,4 floor
3,1070,Hinjewadi,32000," Hadapsar 850 sqft"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
3,920,Talegaon Dabhade,15000,Unfurnished,Ground floor
2,1045,"Shastrinagar, Yerawada",24000," Undri 832 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,1450,Wagholi Nagar Road,9000,Furnished,4 floor
1,1001,,12500,Furnished,4 floor 3 BHK
2,1280,Hinjewadi Phase 1,20000," Pimpri Chinchwad 1100 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
1,900,Warje,12000," Hinjewadi"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
2,1650,Guru Nanak Nagar,23000,Furnished,5 floor
2,1107,Bhekrai Nagar,11000," Viman Nagar 1550 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,1000,Mahalunge,17000," Pimpri Chinchwad 909 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
3,1407,"Tathawade, Dattwadi",27000," Kothrud 800 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
2,460,Bharti Vidyapeeth Campus,13000,Unfurnished,"7 floor Interested People can contact."" itemprop=""description""/>
<meta content=""/propertyDetails/3-BHK-1365-Sq-ft-Multistorey-Apartment-FOR-Rent-Ambegaon-Budruk-in-Pune&amp;id=4d423439363335383832"" itemprop=""url""/>
<div itemprop=""address"" itemscope="""" itemtype=""//schema.org/PostalAddress"">
<meta content=""Ambegaon Budruk"" itemprop=""addressLocality""/>
<input content=""IN"" itemprop=""addressCountry"" type=""hidden"">
</input></div>
<meta content=""3"" itemprop=""numberOfRooms""/>
<meta content=""1365 FTK "" itemprop=""floorSize""/>
</div>"
2,900,Somatne Phata,8500," Hinjewadi Phase 1 846 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,1082,Chakan,7000,Unfurnished,Ground floor 2 BHK
2,1100,Narhe,11000,Semi-Furnished,1 floor Here is a comparatively affordable 1 BHK flat available on rent one of the developing suburbs of Pune
2,1250,Pirangut,8000, Wakad," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""5 Bath"
2,1100,Chikhali,13000," Mangaldas Road 1555 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
1,636,,6000," Balewadi 2200 sqft"" itemprop=""name""/>
<meta content=""5 Bath",Semi-Furnished
2,799,"Pimpri, Pimpri Chinchwad",33000,Unfurnished,1 floor
2,800,Kirkitwadi,9000,Unfurnished,3 floor 2 BHK
2,850,Undri,12000,Semi-Furnished,3 floor
1,650,"Aundh Gaon, Aundh",17500, Ravet," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""1 Bath"
2,900,Undri,15000,Unfurnished,11 floor Pethkar SiyonaUltra spacious
1,950,Charholi,8000," Kharadi 1375 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
3,1024,Handewadi,17000," Ambedkar Nagar-Kondhwa 930 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,1254,Chakan,8500," Sus 1176 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,895,Alandi Road,9500," Dhanori 1020 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,800,Kondhwa Budruk,12000,Unfurnished,3 floor
3,913,"Ravet, Pimpri Chinchwad",20000," Baner road 1650 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,1036,Sanaswadi,4000,Unfurnished,4 floor
2,890,Rasta Peth,25000," Hadapsar 850 sqft"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
2,1000,"Gitai Colony, Chikhali",12000,Unfurnished,Ground floor
,1190,Baner road,15000," Undri 832 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,600,Pisoli,12000,Furnished,4 floor
2,1100,Wagholi,20000,Furnished,4 floor 3 BHK
,1100,"Pimpri, Pimpri Chinchwad",5000," Pimpri Chinchwad 1100 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
3,525,Chakan,11000," Hinjewadi"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
1,2300,"Siddhartha Nagar, Dhanori",10500,Furnished,5 floor
2,730,Purnanagar,14000," Viman Nagar 1550 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,650,Pirangut,8000," Pimpri Chinchwad 909 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,800,Hinjewadi Phase 2,20000," Kothrud 800 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
1,1200,,5000,Unfurnished,"7 floor Interested People can contact."" itemprop=""description""/>
<meta content=""/propertyDetails/3-BHK-1365-Sq-ft-Multistorey-Apartment-FOR-Rent-Ambegaon-Budruk-in-Pune&amp;id=4d423439363335383832"" itemprop=""url""/>
<div itemprop=""address"" itemscope="""" itemtype=""//schema.org/PostalAddress"">
<meta content=""Ambegaon Budruk"" itemprop=""addressLocality""/>
<input content=""IN"" itemprop=""addressCountry"" type=""hidden"">
</input></div>
<meta content=""3"" itemprop=""numberOfRooms""/>
<meta content=""1365 FTK "" itemprop=""floorSize""/>
</div>"
2,1200,Pisoli,12000," Hinjewadi Phase 1 846 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,1009,Khed Shivapur Road,6000,Unfurnished,Ground floor 2 BHK
2,1200,"Somnath Nagar, Vadgaonsheri",18000,Semi-Furnished,1 floor Here is a comparatively affordable 1 BHK flat available on rent one of the developing suburbs of Pune
2,1000,Talegaon Dabhade,9500, Wakad," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""5 Bath"
1,550,,5500," Mangaldas Road 1555 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
1,450,"Hadapsar Gaon, Hadapsar",11000," Balewadi 2200 sqft"" itemprop=""name""/>
<meta content=""5 Bath",Semi-Furnished
2,1217,Ambe Gaon,13800,Unfurnished,1 floor
1,528,Hinjewadi,6500,Unfurnished,3 floor 2 BHK
1,590,Chikhali,8500,Semi-Furnished,3 floor
2,800,Hadapsar,17000, Ravet," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""1 Bath"
1,800,Ranjan Gaon,5000,Unfurnished,11 floor Pethkar SiyonaUltra spacious
3,850,Hinjewadi,12000," Kharadi 1375 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
1,500,Talegaon Dhamdhere,3000," Ambedkar Nagar-Kondhwa 930 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
4,380,Kharadi,1 Lac," Sus 1176 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
5,1090,,17000," Dhanori 1020 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,380,Undri,19000,Unfurnished,3 floor
2,976,Ambegaon Budruk,14000," Baner road 1650 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
1,1149,Wagholi,15000,Unfurnished,4 floor
1,2570,"Sheti Mahamandal Colony, Gokhalenagar",16500," Hadapsar 850 sqft"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
3,1030,Sus,18000,Unfurnished,Ground floor
2,1265,Dhayari,8000," Undri 832 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,1243,"Ganesh nagar, Karvenagar",12000,Furnished,4 floor
2,609,"Wadgaon Budruk, Narhe",11000,Furnished,4 floor 3 BHK
3,600,Talegaon Dabhade,10000," Pimpri Chinchwad 1100 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
1,984,"Manjri, Manjri Budruk",9000," Hinjewadi"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
2,900,Baner,23500,Furnished,5 floor
1,1100,"Wakad, Pimpri Chinchwad",14000," Viman Nagar 1550 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,1065,Dhanori,17500," Pimpri Chinchwad 909 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,1450,"Ambegaon Pathar, Vadgaon Budruk",11000," Kothrud 800 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
1,640,Kalyani Nagar,19500,Unfurnished,"7 floor Interested People can contact."" itemprop=""description""/>
<meta content=""/propertyDetails/3-BHK-1365-Sq-ft-Multistorey-Apartment-FOR-Rent-Ambegaon-Budruk-in-Pune&amp;id=4d423439363335383832"" itemprop=""url""/>
<div itemprop=""address"" itemscope="""" itemtype=""//schema.org/PostalAddress"">
<meta content=""Ambegaon Budruk"" itemprop=""addressLocality""/>
<input content=""IN"" itemprop=""addressCountry"" type=""hidden"">
</input></div>
<meta content=""3"" itemprop=""numberOfRooms""/>
<meta content=""1365 FTK "" itemprop=""floorSize""/>
</div>"
1,824,Karvenagar,7500," Hinjewadi Phase 1 846 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
3,1000,Kharadi,40000,Unfurnished,Ground floor 2 BHK
2,651,Shirur,15000,Semi-Furnished,1 floor Here is a comparatively affordable 1 BHK flat available on rent one of the developing suburbs of Pune
3,698,"Model Colony, Shivaji Nagar",45000, Wakad," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""5 Bath"
2,950,Undri,12000," Mangaldas Road 1555 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,650,Pashan-Sus Road,18000," Balewadi 2200 sqft"" itemprop=""name""/>
<meta content=""5 Bath",Semi-Furnished
1,400,Pashan,9000,Unfurnished,1 floor
1,850,"Shivthirth nagar, Kothrud",5500,Unfurnished,3 floor 2 BHK
1,1600,Senapati Bapat Road,15000,Semi-Furnished,3 floor
2,828,,2 Lac, Ravet," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""1 Bath"
3,625,Aundh,28000,Unfurnished,11 floor Pethkar SiyonaUltra spacious
1,950,Aundh,15000," Kharadi 1375 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
1,1500,Bhosari,5500," Ambedkar Nagar-Kondhwa 930 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
1,1050,Wadgaon Sheri,7000," Sus 1176 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,1250,,5000," Dhanori 1020 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,1112,Hadapsar,10000,Unfurnished,3 floor
1,560,Viman Nagar,16800," Baner road 1650 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
1,534,Wagholi,9000,Unfurnished,4 floor
2,1005,Hadapsar,26000," Hadapsar 850 sqft"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
3,917,Balewadi,27000,Unfurnished,Ground floor
1,500,"Siddhartha Nagar, Dhanori",10500," Undri 832 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,10000,Magarpatta City,20000,Furnished,4 floor
2,925,"Pimple Saudagar, Pimpri Chinchwad",19500,Furnished,4 floor 3 BHK
2,645,Kharadi,22000," Pimpri Chinchwad 1100 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,1600,Kalyani Nagar,33000," Hinjewadi"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
2,925,Baner,42000,Furnished,5 floor
1,580,Hinjewadi,9200," Viman Nagar 1550 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,940,Pirangut,9000," Pimpri Chinchwad 909 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
1,1346,Hadapsar,8000," Kothrud 800 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
1,1383,Hinjewadi,17000,Unfurnished,"7 floor Interested People can contact."" itemprop=""description""/>
<meta content=""/propertyDetails/3-BHK-1365-Sq-ft-Multistorey-Apartment-FOR-Rent-Ambegaon-Budruk-in-Pune&amp;id=4d423439363335383832"" itemprop=""url""/>
<div itemprop=""address"" itemscope="""" itemtype=""//schema.org/PostalAddress"">
<meta content=""Ambegaon Budruk"" itemprop=""addressLocality""/>
<input content=""IN"" itemprop=""addressCountry"" type=""hidden"">
</input></div>
<meta content=""3"" itemprop=""numberOfRooms""/>
<meta content=""1365 FTK "" itemprop=""floorSize""/>
</div>"
1,581,Rasta Peth,15000," Hinjewadi Phase 1 846 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
1,1045,Moshi,5500,Unfurnished,Ground floor 2 BHK
1,1000,,12500,Semi-Furnished,1 floor Here is a comparatively affordable 1 BHK flat available on rent one of the developing suburbs of Pune
3,1200,Kalyani Nagar,45000, Wakad," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""5 Bath"
1,671,Narhe,8000," Mangaldas Road 1555 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
3,980,Amanora Park Town,30000," Balewadi 2200 sqft"" itemprop=""name""/>
<meta content=""5 Bath",Semi-Furnished
2,621,Hadapsar,11000,Unfurnished,1 floor
2,1400,"Wakad, Pimpri Chinchwad",21000,Unfurnished,3 floor 2 BHK
3,540,"Balewadi Phata, Baner",32500,Semi-Furnished,3 floor
2,1338,Wagholi,12500, Ravet," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""1 Bath"
2,975,"Dapodi, Pimpri Chinchwad",16000,Unfurnished,11 floor Pethkar SiyonaUltra spacious
2,1000,"Chinchwad, Pimpri Chinchwad",16000," Kharadi 1375 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
3,1800,"Mhada Colony-Viman Nagar, Viman Nagar",36000," Ambedkar Nagar-Kondhwa 930 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,700,"Pimple Saudagar, Pimpri Chinchwad",20000," Sus 1176 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,1669,"Wakad, Pimpri Chinchwad",20000," Dhanori 1020 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
3,1197,"Deepmala Society, Pimpri Chinchwad",26500,Unfurnished,3 floor
1,900,Narhe,7500," Baner road 1650 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,1160,"Punawale, Pimpri Chinchwad",16000,Unfurnished,4 floor
2,964,Karvenagar,22000," Hadapsar 850 sqft"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
2,1800,"Wakad, Pimpri Chinchwad",22000,Unfurnished,Ground floor
2,1020,Wagholi,13500," Undri 832 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,1050,Baner,30000,Furnished,4 floor
1,700,Wagholi,9500,Furnished,4 floor 3 BHK
2,1350,Dhayari,10000," Pimpri Chinchwad 1100 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,500,Shirgaon,9000," Hinjewadi"" itemprop=""name""/>
<meta content=""1 Bath",Unfurnished
2,872,"Pradhikaran, Bhosari",22000,Furnished,5 floor
1,1230,"Bhairav Nagar, Dhanori",12000," Viman Nagar 1550 sqft"" itemprop=""name""/>
<meta content=""3 Bath",Furnished
2,900,Katraj,11000," Pimpri Chinchwad 909 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Unfurnished
2,787,Pashan,21000," Kothrud 800 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Semi-Furnished
2,1000,"Wakad, Pimpri Chinchwad",20000,Unfurnished,"7 floor Interested People can contact."" itemprop=""description""/>
<meta content=""/propertyDetails/3-BHK-1365-Sq-ft-Multistorey-Apartment-FOR-Rent-Ambegaon-Budruk-in-Pune&amp;id=4d423439363335383832"" itemprop=""url""/>
<div itemprop=""address"" itemscope="""" itemtype=""//schema.org/PostalAddress"">
<meta content=""Ambegaon Budruk"" itemprop=""addressLocality""/>
<input content=""IN"" itemprop=""addressCountry"" type=""hidden"">
</input></div>
<meta content=""3"" itemprop=""numberOfRooms""/>
<meta content=""1365 FTK "" itemprop=""floorSize""/>
</div>"
2,920,Wagholi,19000," Hinjewadi Phase 1 846 sqft"" itemprop=""name""/>
<meta content=""2 Bath",Furnished
2,1500,Wagholi,17000,Unfurnished,Ground floor 2 BHK
1,740,Kothrud,15000,Semi-Furnished,1 floor Here is a comparatively affordable 1 BHK flat available on rent one of the developing suburbs of Pune
2,850,"Borade Vasti, Pimpri Chinchwad",13000, Wakad," Pimpri Chinchwad"" itemprop=""name""/>
<meta content=""5 Bath"
